NO,All,Red,Green,RatioR,RatioG,Result
A79.jpg,160000,7284,9538.5,0.045525,0.059615625,A
A34.jpg,160000,9862.5,0,0.061640625,0,A
A16.jpg,160000,10113,0,0.06320625,0,A
A11.jpg,160000,10680,0,0.06675,0,A
A36.jpg,160000,11269.5,0,0.070434375,0,A
A56.jpg,160000,12308,0,0.076925,0,A
A109.jpg,160000,13177,0,0.08235625,0,A
A57.jpg,160000,13371.5,0,0.083571875,0,A
A72.jpg,160000,14125.5,0,0.088284375,0,A
A49.jpg,160000,14423,0,0.09014375,0,A
A25.jpg,160000,15397.5,0,0.096234375,0,A
A63.jpg,160000,15578.5,0,0.097365625,0,A
A14.jpg,160000,15752.5,0,0.098453125,0,A
A43.jpg,160000,16519,0,0.10324375,0,A
A19.jpg,160000,17058,0,0.1066125,0,A
A41.jpg,160000,17283,7266.5,0.10801875,0.045415625,A
A55.jpg,160000,17324.5,11614.5,0.108278125,0.072590625,A
A67.jpg,160000,17494.5,5905.5,0.109340625,0.036909375,A
A92.jpg,160000,17530.5,21005,0.109565625,0.13128125,A
A42.jpg,160000,18008,0,0.11255,0,A
A104.jpg,160000,18262.5,11504,0.114140625,0.0719,A
A23.jpg,160000,19033.5,0,0.118959375,0,A
A54.jpg,160000,19205,0,0.12003125,0,A
A4.jpg,160000,19291,23075,0.12056875,0.14421875,A
A50.jpg,160000,19370,19142.5,0.1210625,0.119640625,A
A33.jpg,160000,19522,0,0.1220125,0,A
A45.jpg,160000,19624,0,0.12265,0,A
A18.jpg,160000,20058.5,0,0.125365625,0,A
A101.jpg,160000,20070,5492.5,0.1254375,0.034328125,A
A31.jpg,160000,20411.5,16763,0.127571875,0.10476875,A
A110.jpg,160000,20635.5,0,0.128971875,0,A
A95.jpg,160000,21107.5,0,0.131921875,0,A
A8.jpg,160000,21506.5,0,0.134415625,0,A
A74.jpg,160000,21536.5,0,0.134603125,0,A
A61.jpg,160000,21979.5,0,0.137371875,0,A
A111.jpg,160000,21979.5,0,0.137371875,0,A
A52.jpg,160000,22110.5,0,0.138190625,0,A
A29.jpg,160000,22253.5,0,0.139084375,0,A
A20.jpg,160000,22578,0,0.1411125,0,A
A75.jpg,160000,22944.5,0,0.143403125,0,A
A93.jpg,160000,23186,0,0.1449125,0,A
A98.jpg,160000,23187,0,0.14491875,0,A
A26.jpg,160000,23615.5,0,0.147596875,0,A
A58.jpg,160000,24450.5,0,0.152815625,0,A
A44.jpg,160000,24646,0,0.1540375,0,A
A82.jpg,160000,24796.5,7289.5,0.154978125,0.045559375,A
A53.jpg,160000,24944.5,18489,0.155903125,0.11555625,A
A37.jpg,160000,25506,0,0.1594125,0,A
A97.jpg,160000,25786.5,0,0.161165625,0,A
A64.jpg,160000,25932.5,8246,0.162078125,0.0515375,A
A32.jpg,160000,25990.5,0,0.162440625,0,A
A103.jpg,160000,26107,0,0.16316875,0,A
A48.jpg,160000,26435.5,0,0.165221875,0,A
A27.jpg,160000,26557.5,0,0.165984375,0,A
A35.jpg,160000,26579.5,0,0.166121875,0,A
A24.jpg,160000,27103,0,0.16939375,0,A
A66.jpg,160000,27642.5,0,0.172765625,0,A
A60.jpg,160000,27734.5,0,0.173340625,0,A
A91.jpg,160000,27915,10829.5,0.17446875,0.067684375,A
A12.jpg,160000,28032,0,0.1752,0,A
A28.jpg,160000,28586.5,0,0.178665625,0,A
A39.jpg,160000,28622,0,0.1788875,0,A
A69.jpg,160000,28680.5,0,0.179253125,0,A
A80.jpg,160000,29365.5,0,0.183534375,0,A
A70.jpg,160000,29648,0,0.1853,0,A
A47.jpg,160000,30179,22586.5,0.18861875,0.141165625,A
A107.jpg,160000,30216.5,0,0.188853125,0,A
A105.jpg,160000,30269.5,0,0.189184375,0,A
A73.jpg,160000,30758,0,0.1922375,0,A
A17.jpg,160000,32693,0,0.20433125,0,A
A10.jpg,160000,32922.5,0,0.205765625,0,A
A13.jpg,160000,32957.5,0,0.205984375,0,A
A83.jpg,160000,33078,10991,0.2067375,0.06869375,A
A86.jpg,160000,33316.5,0,0.208228125,0,A
A84.jpg,160000,34318.5,0,0.214490625,0,A
A30.jpg,160000,35557,9250.5,0.22223125,0.057815625,A
A65.jpg,160000,36143.5,0,0.225896875,0,A
A51.jpg,160000,36703,0,0.22939375,0,A
A7.jpg,160000,39016,0,0.24385,0,A
A21.jpg,160000,39665.5,22083,0.247909375,0.13801875,A
A22.jpg,160000,39977.5,8499,0.249859375,0.05311875,A
A87.jpg,160000,42060.5,0,0.262878125,0,A
A40.jpg,160000,43302.5,15166,0.270640625,0.0947875,A
A1.jpg,160000,44597,0,0.27873125,0,A
A38.jpg,160000,46085,0,0.28803125,0,A
A85.jpg,160000,47795,0,0.29871875,0,A
A59.jpg,160000,48312.5,0,0.301953125,0,A
A99.jpg,160000,48438.5,0,0.302740625,0,A
A71.jpg,160000,52459,0,0.32786875,0,A
A2.jpg,160000,55902.5,0,0.349390625,0,A
A68.jpg,160000,68572,0,0.428575,0,A
