NO,All,Red,Green,RatioR,RatioG,Result
A79.jpg,160000,7284,9538.5,0.045525,0.059615625,1
A34.jpg,160000,9862.5,0,0.061640625,0,1
A16.jpg,160000,10113,4649,0.06320625,0.02905625,1
A11.jpg,160000,10680,0,0.06675,0,1
A36.jpg,160000,11269.5,0,0.070434375,0,1
A56.jpg,160000,12308,0,0.076925,0,1
A35.jpg,160000,13177,4394,0.08235625,0.0274625,1
A57.jpg,160000,13371.5,0,0.083571875,0,1
A72.jpg,160000,14125.5,0,0.088284375,0,1
A49.jpg,160000,14423,0,0.09014375,0,1
A25.jpg,160000,15397.5,0,0.096234375,0,1
A63.jpg,160000,15578.5,0,0.097365625,0,1
A14.jpg,160000,15752.5,0,0.098453125,0,1
A43.jpg,160000,16519,0,0.10324375,0,1
A19.jpg,160000,17058,0,0.1066125,0,1
A41.jpg,160000,17283,7266.5,0.10801875,0.045415625,1
A55.jpg,160000,17324.5,11614.5,0.108278125,0.072590625,1
A67.jpg,160000,17494.5,5905.5,0.109340625,0.036909375,1
A92.jpg,160000,17530.5,21005,0.109565625,0.13128125,1
A42.jpg,160000,18008,0,0.11255,0,1
A104.jpg,160000,18262.5,11504,0.114140625,0.0719,1
A23.jpg,160000,19033.5,0,0.118959375,0,1
A54.jpg,160000,19205,0,0.12003125,0,1
A4.jpg,160000,19291,23075,0.12056875,0.14421875,1
A2.jpg,160000,19370,19142.5,0.1210625,0.119640625,1
A33.jpg,160000,19522,1095,0.1220125,0.00684375,1
A45.jpg,160000,19624,0,0.12265,0,1
A101.jpg,160000,20070,9733.5,0.1254375,0.060834375,1
A31.jpg,160000,20411.5,16763,0.127571875,0.10476875,1
A18.jpg,160000,21099,0,0.13186875,0,1
A95.jpg,160000,21107.5,0,0.131921875,0,1
A8.jpg,160000,21506.5,0,0.134415625,0,1
A74.jpg,160000,21536.5,0,0.134603125,0,1
A61.jpg,160000,21979.5,0,0.137371875,0,1
A110.jpg,160000,21979.5,0,0.137371875,0,1
A52.jpg,160000,22110.5,0,0.138190625,0,1
A29.jpg,160000,22253.5,0,0.139084375,0,1
A20.jpg,160000,22578,0,0.1411125,0,1
A75.jpg,160000,22944.5,0,0.143403125,0,1
A93.jpg,160000,23186,0,0.1449125,0,1
A98.jpg,160000,23187,0,0.14491875,0,1
A26.jpg,160000,23615.5,0,0.147596875,0,1
A58.jpg,160000,24450.5,0,0.152815625,0,1
A44.jpg,160000,24646,0,0.1540375,0,1
A82.jpg,160000,24796.5,7289.5,0.154978125,0.045559375,1
A53.jpg,160000,24944.5,18489,0.155903125,0.11555625,1
A37.jpg,160000,25506,0,0.1594125,0,1
A97.jpg,160000,25786.5,0,0.161165625,0,1
A64.jpg,160000,25932.5,9306.5,0.162078125,0.058165625,1
A32.jpg,160000,25990.5,0,0.162440625,0,1
A103.jpg,160000,26107,0,0.16316875,0,1
A48.jpg,160000,26435.5,0,0.165221875,0,1
A27.jpg,160000,26557.5,0,0.165984375,0,1
A24.jpg,160000,27103,0,0.16939375,0,1
A66.jpg,160000,27642.5,0,0.172765625,0,1
A60.jpg,160000,27734.5,0,0.173340625,0,1
A91.jpg,160000,27915,10829.5,0.17446875,0.067684375,1
A12.jpg,160000,28032,0,0.1752,0,1
A28.jpg,160000,28586.5,0,0.178665625,0,1
A69.jpg,160000,28680.5,0,0.179253125,0,1
A80.jpg,160000,29365.5,0,0.183534375,0,1
A70.jpg,160000,29648,0,0.1853,0,1
A47.jpg,160000,30179,22586.5,0.18861875,0.141165625,1
A39.jpg,160000,30181,3652,0.18863125,0.022825,1
A105.jpg,160000,30269.5,0,0.189184375,0,1
A73.jpg,160000,30758,1139.5,0.1922375,0.007121875,1
A17.jpg,160000,32693,0,0.20433125,0,1
A10.jpg,160000,32922.5,0,0.205765625,0,1
A107.jpg,160000,32957.5,3976,0.205984375,0.02485,1
A83.jpg,160000,33078,10991,0.2067375,0.06869375,1
A86.jpg,160000,33316.5,0,0.208228125,0,1
A84.jpg,160000,34318.5,0,0.214490625,0,1
A30.jpg,160000,35557,14076.5,0.22223125,0.087978125,1
A65.jpg,160000,36143.5,0,0.225896875,0,1
A51.jpg,160000,36703,0,0.22939375,0,1
A7.jpg,160000,39016,3108.5,0.24385,0.019428125,1
A38.jpg,160000,39665.5,25441.5,0.247909375,0.159009375,1
A22.jpg,160000,39977.5,8499,0.249859375,0.05311875,1
A87.jpg,160000,42060.5,0,0.262878125,0,1
A68.jpg,160000,43302.5,15166,0.270640625,0.0947875,1
A1.jpg,160000,44597,0,0.27873125,0,1
A85.jpg,160000,47795,0,0.29871875,0,1
A59.jpg,160000,48312.5,0,0.301953125,0,1
A99.jpg,160000,48438.5,0,0.302740625,0,1
A71.jpg,160000,52459,0,0.32786875,0,1
B14.jpg,160000,5825.5,0,0.036409375,0,0
B51.jpg,160000,10427.5,0,0.065171875,0,0
B24.jpg,160000,10527,0,0.06579375,0,0
B9.jpg,160000,11564.5,14719.5,0.072278125,0.091996875,0
B99.jpg,160000,12653,63664,0.07908125,0.3979,0
B37.jpg,160000,13870,0,0.0866875,0,0
B3.jpg,160000,13991.5,37398.5,0.087446875,0.233740625,0
B29.jpg,160000,14569.5,0,0.091059375,0,0
B4.jpg,160000,15260.5,13051,0.095378125,0.08156875,0
B26.jpg,160000,15455.5,0,0.096596875,0,0
B44.jpg,160000,15894,21435.5,0.0993375,0.133971875,0
B87.jpg,160000,16822,0,0.1051375,0,0
B56.jpg,160000,17106.5,0,0.106915625,0,0
B58.jpg,160000,17270.5,0,0.107940625,0,0
B69.jpg,160000,18156,0,0.113475,0,0
B16.jpg,160000,18203,10770,0.11376875,0.0673125,0
B19.jpg,160000,18480.5,0,0.115503125,0,0
B8.jpg,160000,18595,59094,0.11621875,0.3693375,0
B32.jpg,160000,18616.5,1334,0.116353125,0.0083375,0
B81.jpg,160000,19272.5,0,0.120453125,0,0
B95.jpg,160000,19419.5,0,0.121371875,0,0
B115.jpg,160000,19506.5,0,0.121915625,0,0
B54.jpg,160000,20110.5,0,0.125690625,0,0
B74.jpg,160000,20331.5,0,0.127071875,0,0
B79.jpg,160000,20914,0,0.1307125,0,0
B25.jpg,160000,20957,0,0.13098125,0,0
B88.jpg,160000,21007,0,0.13129375,0,0
B21.jpg,160000,21182,3820.5,0.1323875,0.023878125,0
B7.jpg,160000,21301,0,0.13313125,0,0
B20.jpg,160000,21695.5,11435.5,0.135596875,0.071471875,0
B52.jpg,160000,21768,0,0.13605,0,0
B63.jpg,160000,21778.5,0,0.136115625,0,0
B105.jpg,160000,22050,7327,0.1378125,0.04579375,0
B36.jpg,160000,22509,0,0.14068125,0,0
B59.jpg,160000,23456,0,0.1466,0,0
B50.jpg,160000,23466,0,0.1466625,0,0
B6.jpg,160000,23627,14667,0.14766875,0.09166875,0
B.DS_Store,160000,23711,0,0.14819375,0,0
B27.jpg,160000,23809.5,0,0.148809375,0,0
B113.jpg,160000,23878.5,0,0.149240625,0,0
B38.jpg,160000,24150,0,0.1509375,0,0
B55.jpg,160000,24536,0,0.15335,0,0
B70.jpg,160000,24593.5,0,0.153709375,0,0
B1.jpg,160000,24731,36653.5,0.15456875,0.229084375,0
B73.jpg,160000,24754,15608.5,0.1547125,0.097553125,0
B76.jpg,160000,24868,0,0.155425,0,0
B101.jpg,160000,25001,1044,0.15625625,0.006525,0
B67.jpg,160000,25170.5,0,0.157315625,0,0
B40.jpg,160000,25178.5,15734,0.157365625,0.0983375,0
B53.jpg,160000,25183,0,0.15739375,0,0
B18.jpg,160000,25586,10694,0.1599125,0.0668375,0
B114.jpg,160000,25596.5,1499.5,0.159978125,0.009371875,0
B75.jpg,160000,25776,0,0.1611,0,0
B110.jpg,160000,26166.5,0,0.163540625,0,0
B39.jpg,160000,26724,11695,0.167025,0.07309375,0
B65.jpg,160000,27697,0,0.17310625,0,0
B11.jpg,160000,27802.5,0,0.173765625,0,0
B22.jpg,160000,27917,1335,0.17448125,0.00834375,0
B23.jpg,160000,28466.5,15724,0.177915625,0.098275,0
B49.jpg,160000,28496,0,0.1781,0,0
B13.jpg,160000,29181.5,0,0.182384375,0,0
B5.jpg,160000,29870,27042,0.1866875,0.1690125,0
B33.jpg,160000,30171.5,12110,0.188571875,0.0756875,0
B111.jpg,160000,30252,0,0.189075,0,0
B43.jpg,160000,30252,12498,0.189075,0.0781125,0
B71.jpg,160000,30617,1132.5,0.19135625,0.007078125,0
B72.jpg,160000,30762.5,0,0.192265625,0,0
B2.jpg,160000,31366,0,0.1960375,0,0
B83.jpg,160000,31635.5,0,0.197721875,0,0
B78.jpg,160000,32467,0,0.20291875,0,0
B15.jpg,160000,32806,0,0.2050375,0,0
B35.jpg,160000,33169,0,0.20730625,0,0
B62.jpg,160000,33228.5,0,0.207678125,0,0
B89.jpg,160000,33717,12793,0.21073125,0.07995625,0
B109.jpg,160000,34039,20088,0.21274375,0.12555,0
B77.jpg,160000,34518,0,0.2157375,0,0
B17.jpg,160000,35026.5,0,0.218915625,0,0
B84.jpg,160000,35129,1264.5,0.21955625,0.007903125,0
B93.jpg,160000,35285,0,0.22053125,0,0
B31.jpg,160000,35695,1040.5,0.22309375,0.006503125,0
B10.jpg,160000,36147.5,0,0.225921875,0,0
B103.jpg,160000,36706,0,0.2294125,0,0
B12.jpg,160000,36962.5,0,0.231015625,0,0
B47.jpg,160000,37119.5,0,0.231996875,0,0
B57.jpg,160000,38150.5,0,0.238440625,0,0
B28.jpg,160000,39676,0,0.247975,0,0
B86.jpg,160000,40618.5,0,0.253865625,0,0
B82.jpg,160000,41086,1517.5,0.2567875,0.009484375,0
B30.jpg,160000,42451,0,0.26531875,0,0
B45.jpg,160000,42522.5,0,0.265765625,0,0
B102.jpg,160000,43625,0,0.27265625,0,0
B61.jpg,160000,43963.5,0,0.274771875,0,0
B80.jpg,160000,44555.5,0,0.278471875,0,0
B60.jpg,160000,45527.5,0,0.284546875,0,0
B112.jpg,160000,46631.5,49539,0.291446875,0.30961875,0
