NO,All,Red,Green,RatioR,RatioG,Result
B31.jpg,160000,35695,1040.5,0.22309375,0.006503125,0
B101.jpg,160000,25001,1044,0.15625625,0.006525,0
A33.jpg,160000,19522,1095,0.1220125,0.00684375,1
B71.jpg,160000,30617,1132.5,0.19135625,0.007078125,0
A73.jpg,160000,30758,1139.5,0.1922375,0.007121875,1
B84.jpg,160000,35129,1264.5,0.21955625,0.007903125,0
B32.jpg,160000,18616.5,1334,0.116353125,0.0083375,0
B22.jpg,160000,27917,1335,0.17448125,0.00834375,0
B114.jpg,160000,25596.5,1499.5,0.159978125,0.009371875,0
B82.jpg,160000,41086,1517.5,0.2567875,0.009484375,0
A7.jpg,160000,39016,3108.5,0.24385,0.019428125,1
A39.jpg,160000,30181,3652,0.18863125,0.022825,1
B21.jpg,160000,21182,3820.5,0.1323875,0.023878125,0
A107.jpg,160000,32957.5,3976,0.205984375,0.02485,1
A35.jpg,160000,13177,4394,0.08235625,0.0274625,1
A16.jpg,160000,10113,4649,0.06320625,0.02905625,1
A67.jpg,160000,17494.5,5905.5,0.109340625,0.036909375,1
A41.jpg,160000,17283,7266.5,0.10801875,0.045415625,1
A82.jpg,160000,24796.5,7289.5,0.154978125,0.045559375,1
B105.jpg,160000,22050,7327,0.1378125,0.04579375,0
A22.jpg,160000,39977.5,8499,0.249859375,0.05311875,1
A64.jpg,160000,25932.5,9306.5,0.162078125,0.058165625,1
A79.jpg,160000,7284,9538.5,0.045525,0.059615625,1
A101.jpg,160000,20070,9733.5,0.1254375,0.060834375,1
B18.jpg,160000,25586,10694,0.1599125,0.0668375,0
B16.jpg,160000,18203,10770,0.11376875,0.0673125,0
A91.jpg,160000,27915,10829.5,0.17446875,0.067684375,1
A83.jpg,160000,33078,10991,0.2067375,0.06869375,1
B20.jpg,160000,21695.5,11435.5,0.135596875,0.071471875,0
A104.jpg,160000,18262.5,11504,0.114140625,0.0719,1
A55.jpg,160000,17324.5,11614.5,0.108278125,0.072590625,1
B39.jpg,160000,26724,11695,0.167025,0.07309375,0
B33.jpg,160000,30171.5,12110,0.188571875,0.0756875,0
B43.jpg,160000,30252,12498,0.189075,0.0781125,0
B89.jpg,160000,33717,12793,0.21073125,0.07995625,0
B4.jpg,160000,15260.5,13051,0.095378125,0.08156875,0
A30.jpg,160000,35557,14076.5,0.22223125,0.087978125,1
B6.jpg,160000,23627,14667,0.14766875,0.09166875,0
B9.jpg,160000,11564.5,14719.5,0.072278125,0.091996875,0
A68.jpg,160000,43302.5,15166,0.270640625,0.0947875,1
B73.jpg,160000,24754,15608.5,0.1547125,0.097553125,0
B23.jpg,160000,28466.5,15724,0.177915625,0.098275,0
B40.jpg,160000,25178.5,15734,0.157365625,0.0983375,0
A31.jpg,160000,20411.5,16763,0.127571875,0.10476875,1
A53.jpg,160000,24944.5,18489,0.155903125,0.11555625,1
A2.jpg,160000,19370,19142.5,0.1210625,0.119640625,1
B109.jpg,160000,34039,20088,0.21274375,0.12555,0
A92.jpg,160000,17530.5,21005,0.109565625,0.13128125,1
B44.jpg,160000,15894,21435.5,0.0993375,0.133971875,0
A47.jpg,160000,30179,22586.5,0.18861875,0.141165625,1
A4.jpg,160000,19291,23075,0.12056875,0.14421875,1
A38.jpg,160000,39665.5,25441.5,0.247909375,0.159009375,1
B5.jpg,160000,29870,27042,0.1866875,0.1690125,0
B1.jpg,160000,24731,36653.5,0.15456875,0.229084375,0
B3.jpg,160000,13991.5,37398.5,0.087446875,0.233740625,0
B112.jpg,160000,46631.5,49539,0.291446875,0.30961875,0
B8.jpg,160000,18595,59094,0.11621875,0.3693375,0
B99.jpg,160000,12653,63664,0.07908125,0.3979,0
