NO,All,Red,Green,Result
BA.DS_Store,160000,21192.0,12163.0,BA
BA8.jpg,160000,20118.5,0.0,BA
BA9.jpg,160000,17513.0,6015.0,BA
BA14.jpg,160000,29648.0,0.0,BA
BA28.jpg,160000,23187.0,0.0,BA
BA29.jpg,160000,12980.0,45953.5,BA
BA15.jpg,160000,26376.0,0.0,BA
BA17.jpg,160000,22188.0,5045.5,BA
BA16.jpg,160000,15513.0,5653.0,BA
BA12.jpg,160000,19289.5,51108.5,BA
BA11.jpg,160000,19266.0,3567.0,BA
BA10.jpg,160000,35557.0,14076.5,BA
BA21.jpg,160000,34318.5,0.0,BA
BA35.jpg,160000,44597.0,0.0,BA
BA34.jpg,160000,20070.0,9733.5,BA
BA20.jpg,160000,24646.0,0.0,BA
BA36.jpg,160000,19033.5,0.0,BA
BA22.jpg,160000,24796.5,7289.5,BA
BA33.jpg,160000,29365.5,0.0,BA
BA27.jpg,160000,28680.5,0.0,BA
BA32.jpg,160000,14556.5,0.0,BA
BA18.jpg,160000,17058.0,0.0,BA
BA24.jpg,160000,21536.5,0.0,BA
BA30.jpg,160000,36703.0,0.0,BA
BA31.jpg,160000,17530.5,21005.0,BA
BA25.jpg,160000,10113.0,4649.0,BA
BA19.jpg,160000,22253.5,0.0,BA
BA42.jpg,160000,10867.0,24400.0,BA
BA4.jpg,160000,13679.5,9277.0,BA
BA5.jpg,160000,9862.5,0.0,BA
BA43.jpg,160000,16465.5,17001.5,BA
BA7.jpg,160000,26107.0,0.0,BA
BA41.jpg,160000,24450.5,0.0,BA
BA40.jpg,160000,21817.0,22516.0,BA
BA6.jpg,160000,26675.5,60929.0,BA
BA2.jpg,160000,32657.5,0.0,BA
BA3.jpg,160000,30181.0,3652.0,BA
