NO,All,Red,Green,Result
BB63.jpg,160000,32957.5,3976,BB
BB88.jpg,160000,52459,0,BB
BB89.jpg,160000,27642.5,0,BB
BB76.jpg,160000,14423,0,BB
BB62.jpg,160000,18262.5,11504,BB
BB74.jpg,160000,22578,0,BB
BB49.jpg,160000,25524.5,0,BB
BB71.jpg,160000,27103,0,BB
BB65.jpg,160000,15578.5,0,BB
BB64.jpg,160000,15752.5,0,BB
BB70.jpg,160000,19370,19142.5,BB
BB58.jpg,160000,25755.5,7020.5,BB
BB8.jpg,160000,19205,0,BB
BB67.jpg,160000,31838.5,0,BB
BB9.jpg,160000,12388,18825,BB
BB14.jpg,160000,17124,1112.5,BB
BB28.jpg,160000,21099,0,BB
BB114.jpg,160000,28032,0,BB
BB100.jpg,160000,23626,12628.5,BB
BB29.jpg,160000,8855,7690,BB
BB15.jpg,160000,26093,16593,BB
BB17.jpg,160000,15938.5,11093.5,BB
BB12.jpg,160000,11269.5,0,BB
BB113.jpg,160000,51182.5,0,BB
BB13.jpg,160000,30262.5,14797.5,BB
BB39.jpg,160000,12942,62581,BB
BB11.jpg,160000,18008,0,BB
BB104.jpg,160000,25990.5,0,BB
BB110.jpg,160000,15397.5,0,BB
BB111.jpg,160000,23783,0,BB
BB10.jpg,160000,15524.5,6663,BB
BB38.jpg,160000,12711.5,0,BB
BB21.jpg,160000,13410,3721,BB
BB35.jpg,160000,30269.5,0,BB
BB108.jpg,160000,30216.5,0,BB
BB109.jpg,160000,21131.5,4093.5,BB
BB34.jpg,160000,17280.5,0,BB
BB20.jpg,160000,14518.5,0,BB
BB36.jpg,160000,44627.5,8667,BB
BB23.jpg,160000,27933.5,24617,BB
BB37.jpg,160000,19389.5,0,BB
BB33.jpg,160000,22926.5,9116,BB
BB27.jpg,160000,22593,1021,BB
BB26.jpg,160000,11811,14351.5,BB
BB32.jpg,160000,11682.5,15430,BB
BB18.jpg,160000,26146.5,12731.5,BB
BB24.jpg,160000,30158.5,0,BB
BB30.jpg,160000,17225.5,7857,BB
BB31.jpg,160000,52928,1414,BB
BB25.jpg,160000,19629,11812,BB
BB19.jpg,160000,29004.5,0,BB
BB42.jpg,160000,22449,0,BB
BB4.jpg,160000,19291,23075,BB
BB81.jpg,160000,42060.5,0,BB
BB94.jpg,160000,43302.5,15166,BB
BB80.jpg,160000,27951,18598.5,BB
BB5.jpg,160000,27629,1390.5,BB
BB57.jpg,160000,18035,4806,BB
BB43.jpg,160000,40005.5,10240,BB
BB55.jpg,160000,27320,13016,BB
BB7.jpg,160000,45047.5,12108,BB
BB41.jpg,160000,26557.5,0,BB
BB69.jpg,160000,27734.5,0,BB
BB82.jpg,160000,33316.5,0,BB
BB97.jpg,160000,20411.5,16763,BB
BB68.jpg,160000,24975,0,BB
BB40.jpg,160000,33120,19391,BB
BB54.jpg,160000,16187,4650,BB
BB6.jpg,160000,47795,0,BB
BB78.jpg,160000,16708,10204.5,BB
BB2.jpg,160000,29175.5,0,BB
BB50.jpg,160000,44393,10989.5,BB
BB44.jpg,160000,27915,10829.5,BB
BB93.jpg,160000,25932.5,9306.5,BB
BB87.jpg,160000,17283,7266.5,BB
BB86.jpg,160000,21107.5,0,BB
BB92.jpg,160000,26059,8012,BB
BB45.jpg,160000,30479,0,BB
BB3.jpg,160000,10001.5,43029.5,BB
BB51.jpg,160000,30179,22586.5,BB
BB79.jpg,160000,32563.5,11279,BB
BB47.jpg,160000,4782.5,4851,BB
BB1.jpg,160000,19953.5,0,BB
BB84.jpg,160000,36143.5,0,BB
BB85.jpg,160000,23351,2103.5,BB
